Industry,Firms
Agriculture forestry fishing & hunting,3113143
Mining quarrying & oil and gas extraction,1544700
Utilities,258181
Construction,36421830
Manufacturing,7113942
Wholesale trade,8575856
Retail trade,31109015
Transportation & warehousing,15225842
Information,4699063
Finance & insurance,11441298
Real estate,31946263
Professional & technical services,47805920
Management of companies & enterprises,239418
Administrative support,28971986
Educational services,8090950
Health care & social assistance,31349664
Arts entertainment & recreation,16093302
Accommodation & food services,10414430
Other services,45669613
Unclassified,88696
