Industry,Firms
Agriculture forestry fishing & hunting,329869432
Mining quarrying and oil & gas extraction,1427779
Utilities,254941
Construction,41350284
Manufacturing,7247067
Wholesale trade,8658626
Retail trade,32406273
Transportation & warehousing,15459338
Information,4512512
Finance & insurance,11958211
Real estate,30528392
Professional & technical services,45722773
Management of companies & enterprises,227455
Administrative support,26041994
Educational services,7085270
Health care & social assistance,28417660
Arts entertainment & recreation,14753489
Accommodation & food services,9419233
Other services,38510962
Unclassified,119077
